,Date,Envi,Fuji,Gala,type,region
15,11/9/2016,5371,122059,1567,conventional,Canada
16,4/9/2016,3790,117600,2099,conventional,Canada
17,28/8/2016,3863,126642,1684,conventional,Canada
18,21/8/2016,3838,118303,1922,conventional,Canada
19,14/8/2016,4691,125988,2662,conventional,Canada
20,7/8/2016,5244,130022,3143,conventional,Canada
21,31/7/2016,4322,129945,3805,conventional,Canada
22,24/7/2016,4347,133484,7053,conventional,Canada
23,17/7/2016,5442,136099,6999,conventional,Canada
24,10/7/2016,4664,149185,6514,conventional,Canada
25,3/7/2016,4595,168217,6496,conventional,Canada
26,26/6/2016,4554,161667,9805,conventional,Canada
27,19/6/2016,7033,154162,14007,conventional,Canada
28,12/6/2016,7943,149995,7051,conventional,Canada
29,5/6/2016,4643,174172,23750,conventional,Canada
30,29/5/2016,4644,164356,7149,conventional,Canada
31,22/5/2016,4092,144151,6811,conventional,Canada
32,15/5/2016,3506,151116,21963,conventional,Canada
33,8/5/2016,4411,183122,17790,conventional,Canada
34,1/5/2016,4133,156007,9602,conventional,Canada
35,24/4/2016,4308,141434,9484,conventional,Canada
36,17/4/2016,3370,141000,25464,conventional,Canada
37,10/4/2016,4235,125253,8960,conventional,Canada
38,3/4/2016,3481,109917,10847,conventional,Canada
39,27/3/2016,3097,131467,16191,conventional,Canada
40,20/3/2016,3139,132075,16430,conventional,Canada
41,13/3/2016,3172,126851,7483,conventional,Canada
42,6/3/2016,3704,129151,24315,conventional,Canada
43,28/2/2016,4252,129161,16207,conventional,Canada
44,21/2/2016,3480,117329,5552,conventional,Canada
45,14/2/2016,3898,144375,8009,conventional,Canada
46,7/2/2016,4898,177381,30150,conventional,Canada
47,31/1/2016,3262,133277,12917,conventional,Canada
48,24/1/2016,1985,155257,23681,conventional,Canada
49,17/1/2016,3683,142146,7457,conventional,Canada
50,10/1/2016,3115,151374,7200,conventional,Canada
51,3/1/2016,2731,149328,18925,conventional,Canada
0,25/12/2016,54284,24335,1538,conventional,Mexico
1,18/12/2016,55605,31791,2523,conventional,Mexico
2,11/12/2016,79159,19836,1302,conventional,Mexico
3,4/12/2016,108398,42478,5532,conventional,Mexico
4,27/11/2016,58518,19134,1296,conventional,Mexico
5,20/11/2016,50017,21271,1336,conventional,Mexico
6,13/11/2016,52996,26129,1460,conventional,Mexico
7,6/11/2016,55231,23397,1604,conventional,Mexico
8,30/10/2016,75422,16017,1374,conventional,Mexico
9,23/10/2016,84697,21559,1763,conventional,Mexico
10,16/10/2016,53964,22128,1875,conventional,Mexico
11,9/10/2016,55586,23319,1901,conventional,Mexico
12,2/10/2016,54053,25748,2077,conventional,Mexico
13,25/9/2016,70129,37334,2426,conventional,Mexico
14,18/9/2016,85332,26635,2505,conventional,Mexico
15,11/9/2016,89424,25413,2345,conventional,Mexico
16,4/9/2016,73012,29162,2616,conventional,Mexico
17,28/8/2016,71113,34420,2593,conventional,Mexico
18,21/8/2016,69616,33285,2842,conventional,Mexico
19,14/8/2016,71827,34065,3157,conventional,Mexico
20,7/8/2016,70943,37216,3955,conventional,Mexico
21,31/7/2016,71526,31744,4295,conventional,Mexico
22,24/7/2016,73713,34227,6084,conventional,Mexico
23,17/7/2016,69177,38319,6346,conventional,Mexico
24,10/7/2016,80020,36097,5813,conventional,Mexico
25,3/7/2016,118888,38362,6699,conventional,Mexico
26,26/6/2016,99553,37202,10853,conventional,Mexico
27,19/6/2016,64426,36827,15000,conventional,Mexico
28,12/6/2016,65443,32053,8090,conventional,Mexico
29,5/6/2016,62728,38735,25833,conventional,Mexico
30,29/5/2016,95063,36787,7985,conventional,Mexico
31,22/5/2016,105960,37764,6778,conventional,Mexico
32,15/5/2016,76165,47726,21037,conventional,Mexico
33,8/5/2016,90445,46435,19164,conventional,Mexico
34,1/5/2016,111020,47074,9593,conventional,Mexico
35,24/4/2016,132005,35759,10151,conventional,Mexico
36,17/4/2016,56381,48784,27375,conventional,Mexico
37,10/4/2016,57345,27303,9075,conventional,Mexico
38,3/4/2016,50791,28964,21042,conventional,Mexico
39,27/3/2016,46922,32128,29364,conventional,Mexico
40,20/3/2016,46047,35538,28532,conventional,Mexico
41,13/3/2016,47504,31782,18666,conventional,Mexico
42,6/3/2016,49587,42502,35277,conventional,Mexico
43,28/2/2016,48902,41406,28500,conventional,Mexico
44,21/2/2016,46772,36674,15758,conventional,Mexico
45,14/2/2016,82199,38936,17175,conventional,Mexico
46,7/2/2016,99885,55304,36192,conventional,Mexico
47,31/1/2016,78647,38158,23467,conventional,Mexico
48,24/1/2016,95512,43917,35350,conventional,Mexico
49,17/1/2016,52491,30085,20931,conventional,Mexico
50,10/1/2016,82730,33602,17903,conventional,Mexico
51,3/1/2016,86026,40617,32940,conventional,Mexico
0,25/12/2016,503169,313573,3069,conventional,Africa
1,18/12/2016,571587,250533,2578,conventional,Africa
2,11/12/2016,643580,188669,3182,conventional,Africa
3,4/12/2016,714900,187180,3036,conventional,Africa
4,27/11/2016,445308,158734,2460,conventional,Africa
5,20/11/2016,503089,183916,2768,conventional,Africa
6,13/11/2016,480163,199890,3947,conventional,Africa
7,6/11/2016,513466,163206,1932,conventional,Africa
8,30/10/2016,432539,156226,2502,conventional,Africa
9,23/10/2016,420152,240421,3183,conventional,Africa
10,16/10/2016,526672,188633,2337,conventional,Africa
11,9/10/2016,546921,283337,5585,conventional,Africa
12,2/10/2016,534107,186984,1902,conventional,Africa
13,25/9/2016,574457,228336,1798,conventional,Africa
14,18/9/2016,649266,269041,2165,conventional,Africa
15,11/9/2016,714506,230293,2193,conventional,Africa
16,4/9/2016,719597,256376,2742,conventional,Africa
17,28/8/2016,624795,255434,2998,conventional,Africa
18,21/8/2016,625055,231497,4763,conventional,Africa
19,14/8/2016,612988,240643,3601,conventional,Africa
20,7/8/2016,711726,241322,3385,conventional,Africa
21,31/7/2016,670208,213926,4548,conventional,Africa
22,24/7/2016,651631,228113,4389,conventional,Africa
23,17/7/2016,542103,210287,7623,conventional,Africa
24,10/7/2016,546253,205087,40097,conventional,Africa
25,3/7/2016,609483,273911,95675,conventional,Africa
26,26/6/2016,657915,213130,86436,conventional,Africa
27,19/6/2016,633636,250585,61508,conventional,Africa
28,12/6/2016,695737,219369,87625,conventional,Africa
29,5/6/2016,655972,313964,74561,conventional,Africa
30,29/5/2016,682738,292600,58729,conventional,Africa
31,22/5/2016,596612,352915,102485,conventional,Africa
32,15/5/2016,620140,308644,77617,conventional,Africa
33,8/5/2016,683287,307561,130305,conventional,Africa
34,1/5/2016,671693,319831,63779,conventional,Africa
35,24/4/2016,672950,327965,102387,conventional,Africa
36,17/4/2016,646060,232036,113528,conventional,Africa
37,10/4/2016,753608,211182,112050,conventional,Africa
38,3/4/2016,690161,245284,112750,conventional,Africa
39,27/3/2016,631284,291595,129805,conventional,Africa
40,20/3/2016,620849,317080,134806,conventional,Africa
41,13/3/2016,647713,217854,118454,conventional,Africa
42,6/3/2016,705096,198718,67157,conventional,Africa
43,28/2/2016,717452,207475,53556,conventional,Africa
44,21/2/2016,543538,221807,70977,conventional,Africa
45,14/2/2016,749745,306905,135348,conventional,Africa
46,7/2/2016,766439,410258,143876,conventional,Africa
47,31/1/2016,603100,287514,78917,conventional,Africa
48,24/1/2016,187313,289209,47421,conventional,Africa
49,17/1/2016,600984,369825,79252,conventional,Africa
50,10/1/2016,558567,394770,54920,conventional,Africa
51,3/1/2016,551922,411340,80184,conventional,Africa
0,25/12/2016,123942,206365,15600,conventional,Brazil
1,18/12/2016,116070,232183,10972,conventional,Brazil
2,11/12/2016,110203,219904,11428,conventional,Brazil
3,4/12/2016,129941,277375,11513,conventional,Brazil
4,27/11/2016,86312,131941,14113,conventional,Brazil
5,20/11/2016,94900,146401,15291,conventional,Brazil
6,13/11/2016,133529,197035,16010,conventional,Brazil
7,6/11/2016,110498,148423,18859,conventional,Brazil
8,30/10/2016,99370,239345,16411,conventional,Brazil
9,23/10/2016,100520,166316,19087,conventional,Brazil
10,16/10/2016,129257,156075,16490,conventional,Brazil
11,9/10/2016,149622,240858,13026,conventional,Brazil
12,2/10/2016,124505,172836,16448,conventional,Brazil
13,25/9/2016,135132,168060,16829,conventional,Brazil
14,18/9/2016,134608,198214,16329,conventional,Brazil
15,11/9/2016,112292,227729,14433,conventional,Brazil
16,4/9/2016,146922,254464,17240,conventional,Brazil
17,28/8/2016,138029,282568,13197,conventional,Brazil
18,21/8/2016,150776,190695,13733,conventional,Brazil
19,14/8/2016,120450,189114,19583,conventional,Brazil
20,7/8/2016,168010,183569,18625,conventional,Brazil
21,31/7/2016,144731,178801,19083,conventional,Brazil
22,24/7/2016,128025,187555,19241,conventional,Brazil
23,17/7/2016,145159,204309,19017,conventional,Brazil
24,10/7/2016,190377,230362,20484,conventional,Brazil
25,3/7/2016,170576,256861,21307,conventional,Brazil
26,26/6/2016,165859,229713,17278,conventional,Brazil
27,19/6/2016,188106,224899,20738,conventional,Brazil
28,12/6/2016,179534,242834,19839,conventional,Brazil
29,5/6/2016,184535,326967,16486,conventional,Brazil
30,29/5/2016,181471,282618,33023,conventional,Brazil
31,22/5/2016,160299,266856,17526,conventional,Brazil
32,15/5/2016,159349,252574,39118,conventional,Brazil
33,8/5/2016,181355,427697,13291,conventional,Brazil
34,1/5/2016,153152,261525,15299,conventional,Brazil
35,24/4/2016,132551,225789,11419,conventional,Brazil
36,17/4/2016,171832,285968,27996,conventional,Brazil
37,10/4/2016,127375,353041,11021,conventional,Brazil
38,3/4/2016,153222,209188,25632,conventional,Brazil
39,27/3/2016,150919,208644,20424,conventional,Brazil
40,20/3/2016,138939,360370,10951,conventional,Brazil
41,13/3/2016,158017,261686,33866,conventional,Brazil
42,6/3/2016,145894,242906,18706,conventional,Brazil
43,28/2/2016,118100,300336,62908,conventional,Brazil
44,21/2/2016,155250,331998,14973,conventional,Brazil
45,14/2/2016,178547,277085,17993,conventional,Brazil
46,7/2/2016,230722,557897,18935,conventional,Brazil
47,31/1/2016,167669,270482,27490,conventional,Brazil
48,24/1/2016,25727,404617,15455,conventional,Brazil
49,17/1/2016,118600,403010,31010,conventional,Brazil
50,10/1/2016,146631,366331,37684,conventional,Brazil
51,3/1/2016,114122,526049,10375,conventional,Brazil
0,25/12/2016,1346,91323,3769,conventional,France
1,18/12/2016,908,109289,4631,conventional,France
2,11/12/2016,1045,60599,2268,conventional,France
3,4/12/2016,1093,189102,9126,conventional,France
4,27/11/2016,1330,62174,2036,conventional,France
5,20/11/2016,1166,82542,2576,conventional,France
6,13/11/2016,1341,62842,2934,conventional,France
7,6/11/2016,1859,58869,2786,conventional,France
8,30/10/2016,1991,80588,2821,conventional,France
9,23/10/2016,1235,64736,3120,conventional,France
10,16/10/2016,1511,69626,3811,conventional,France
11,9/10/2016,1531,67528,3409,conventional,France
12,2/10/2016,1618,67660,4167,conventional,France
13,25/9/2016,2758,75047,4715,conventional,France
14,18/9/2016,1407,82347,4838,conventional,France
15,11/9/2016,1711,76988,6085,conventional,France
16,4/9/2016,2699,79727,8314,conventional,France
17,28/8/2016,2478,68530,10745,conventional,France
18,21/8/2016,2042,66472,18507,conventional,France
19,14/8/2016,1836,61893,23662,conventional,France
20,7/8/2016,2220,72545,19401,conventional,France
21,31/7/2016,2219,78076,12112,conventional,France
22,24/7/2016,2350,66147,26207,conventional,France
23,17/7/2016,2137,69206,24890,conventional,France
24,10/7/2016,1971,70502,21318,conventional,France
25,3/7/2016,2335,79978,20020,conventional,France
26,26/6/2016,2370,104540,14725,conventional,France
27,19/6/2016,3035,130169,18999,conventional,France
28,12/6/2016,3254,93760,2234,conventional,France
29,5/6/2016,1814,218135,6826,conventional,France
30,29/5/2016,2080,117665,2496,conventional,France
31,22/5/2016,1950,84537,4986,conventional,France
32,15/5/2016,1673,211337,6472,conventional,France
33,8/5/2016,1949,201017,5353,conventional,France
34,1/5/2016,1858,131194,3003,conventional,France
35,24/4/2016,2001,113326,3088,conventional,France
36,17/4/2016,1878,256400,8606,conventional,France
37,10/4/2016,2129,95777,3412,conventional,France
38,3/4/2016,2410,97646,3234,conventional,France
39,27/3/2016,2299,146038,5101,conventional,France
40,20/3/2016,2126,140410,4357,conventional,France
41,13/3/2016,2180,91195,2608,conventional,France
42,6/3/2016,1975,191952,7753,conventional,France
43,28/2/2016,2249,141142,5164,conventional,France
44,21/2/2016,3581,93604,4068,conventional,France
45,14/2/2016,3573,98244,14048,conventional,France
46,7/2/2016,3936,205007,43867,conventional,France
47,31/1/2016,3589,126342,14941,conventional,France
48,24/1/2016,2407,195586,16377,conventional,France
49,17/1/2016,3810,106815,5407,conventional,France
50,10/1/2016,3615,110381,3921,conventional,France
51,3/1/2016,3985,191590,12294,conventional,France
0,25/12/2016,446144,1256640,146507,conventional,Greece
1,18/12/2016,466186,1327456,146479,conventional,Greece
2,11/12/2016,593674,1251696,134248,conventional,Greece
3,4/12/2016,674158,1769354,179768,conventional,Greece
4,27/11/2016,528089,937488,109137,conventional,Greece
5,20/11/2016,482409,1176231,109089,conventional,Greece
6,13/11/2016,378864,1003256,103231,conventional,Greece
7,6/11/2016,398012,946982,91683,conventional,Greece
8,30/10/2016,456451,955805,88514,conventional,Greece
9,23/10/2016,480949,1062333,105335,conventional,Greece
10,16/10/2016,399216,1126801,111905,conventional,Greece
11,9/10/2016,419930,1162529,129381,conventional,Greece
12,2/10/2016,389791,1183844,129396,conventional,Greece
13,25/9/2016,484580,1282329,144883,conventional,Greece
14,18/9/2016,536657,1278413,150024,conventional,Greece
15,11/9/2016,552133,1351448,156893,conventional,Greece
16,4/9/2016,512921,1430594,158777,conventional,Greece
17,28/8/2016,456513,1330167,166365,conventional,Greece
18,21/8/2016,450527,1308748,180362,conventional,Greece
19,14/8/2016,459026,1316694,217555,conventional,Greece
20,7/8/2016,449400,1387947,219477,conventional,Greece
21,31/7/2016,448128,1374845,207792,conventional,Greece
22,24/7/2016,457453,1381176,293305,conventional,Greece
23,17/7/2016,429390,1441658,291137,conventional,Greece
24,10/7/2016,478537,1500517,328565,conventional,Greece
25,3/7/2016,574426,1781703,367119,conventional,Greece
26,26/6/2016,609218,1609911,376048,conventional,Greece
27,19/6/2016,608467,1766243,431784,conventional,Greece
28,12/6/2016,593779,1519607,285262,conventional,Greece
29,5/6/2016,467971,2147776,487106,conventional,Greece
30,29/5/2016,583307,1952012,280609,conventional,Greece
31,22/5/2016,565308,1785951,285243,conventional,Greece
32,15/5/2016,541980,2165411,491345,conventional,Greece
33,8/5/2016,610996,2239471,471428,conventional,Greece
34,1/5/2016,573870,1927106,320732,conventional,Greece
35,24/4/2016,624804,1787143,323412,conventional,Greece
36,17/4/2016,441314,2322236,508030,conventional,Greece
37,10/4/2016,497880,1454196,299670,conventional,Greece
38,3/4/2016,441200,1373509,360264,conventional,Greece
39,27/3/2016,370933,1846740,464302,conventional,Greece
40,20/3/2016,372245,1730563,425737,conventional,Greece
41,13/3/2016,370033,1668503,319149,conventional,Greece
42,6/3/2016,372606,2069787,534051,conventional,Greece
43,28/2/2016,369567,1862762,427177,conventional,Greece
44,21/2/2016,339775,1566427,295942,conventional,Greece
45,14/2/2016,502691,1784879,352376,conventional,Greece
46,7/2/2016,652666,2644419,704467,conventional,Greece
47,31/1/2016,496596,1762047,422064,conventional,Greece
48,24/1/2016,473647,2043222,553447,conventional,Greece
49,17/1/2016,364950,1695888,357832,conventional,Greece
50,10/1/2016,503915,1753942,352247,conventional,Greece
51,3/1/2016,604697,2200075,543718,conventional,Greece
0,25/12/2016,29000,97384,1530,conventional,Turkey
1,18/12/2016,25826,133480,209,conventional,Turkey
2,11/12/2016,27492,115422,113,conventional,Turkey
3,4/12/2016,27161,93529,71,conventional,Turkey
4,27/11/2016,26022,81008,84,conventional,Turkey
5,20/11/2016,29191,91103,117,conventional,Turkey
6,13/11/2016,39007,92585,127,conventional,Turkey
7,6/11/2016,40523,82050,152,conventional,Turkey
8,30/10/2016,35333,78895,88,conventional,Turkey
9,23/10/2016,35724,99576,114,conventional,Turkey
10,16/10/2016,43579,95965,176,conventional,Turkey
11,9/10/2016,43011,111487,218,conventional,Turkey
12,2/10/2016,42262,106682,192,conventional,Turkey
13,25/9/2016,68045,89410,184,conventional,Turkey
14,18/9/2016,75558,73638,177,conventional,Turkey
15,11/9/2016,108309,103071,124,conventional,Turkey
16,4/9/2016,77541,112618,231,conventional,Turkey
17,28/8/2016,45946,114244,1087,conventional,Turkey
18,21/8/2016,41522,119685,101,conventional,Turkey
19,14/8/2016,49713,114887,194,conventional,Turkey
20,7/8/2016,56263,109040,538,conventional,Turkey
21,31/7/2016,48176,110155,347,conventional,Turkey
22,24/7/2016,42713,103034,273,conventional,Turkey
23,17/7/2016,37155,99017,207,conventional,Turkey
24,10/7/2016,43879,118216,437,conventional,Turkey
25,3/7/2016,41552,129784,762,conventional,Turkey
26,26/6/2016,38571,141143,593,conventional,Turkey
27,19/6/2016,41125,132642,298,conventional,Turkey
28,12/6/2016,43254,114427,125,conventional,Turkey
29,5/6/2016,40843,134735,192,conventional,Turkey
30,29/5/2016,44169,143023,137,conventional,Turkey
31,22/5/2016,40866,124678,183,conventional,Turkey
32,15/5/2016,34543,159859,227,conventional,Turkey
33,8/5/2016,47270,247409,358,conventional,Turkey
34,1/5/2016,52277,185445,363,conventional,Turkey
35,24/4/2016,50495,157367,235,conventional,Turkey
36,17/4/2016,42205,135972,138,conventional,Turkey
37,10/4/2016,42096,116592,168,conventional,Turkey
38,3/4/2016,36367,88834,90,conventional,Turkey
39,27/3/2016,35551,135848,157,conventional,Turkey
40,20/3/2016,35428,159452,270,conventional,Turkey
41,13/3/2016,35473,148078,202,conventional,Turkey
42,6/3/2016,40528,130175,212,conventional,Turkey
43,28/2/2016,36911,157390,213,conventional,Turkey
44,21/2/2016,33668,136617,158,conventional,Turkey
45,14/2/2016,39984,155336,224,conventional,Turkey
46,7/2/2016,42668,186545,334,conventional,Turkey
47,31/1/2016,30150,141568,148,conventional,Turkey
48,24/1/2016,30858,145119,187,conventional,Turkey
49,17/1/2016,37243,127825,215,conventional,Turkey
50,10/1/2016,38270,113996,142,conventional,Turkey
51,3/1/2016,36241,157969,315,conventional,Turkey
0,25/12/2016,2978,178949,7914,conventional,Japan
1,18/12/2016,4770,256346,995,conventional,Japan
2,11/12/2016,3322,186955,2350,conventional,Japan
3,4/12/2016,3426,160247,591,conventional,Japan
4,27/11/2016,4270,149413,120,conventional,Japan
5,20/11/2016,4755,168091,122,conventional,Japan
6,13/11/2016,3119,129123,107,conventional,Japan
7,6/11/2016,3071,119662,162,conventional,Japan
8,30/10/2016,2705,130996,192,conventional,Japan
9,23/10/2016,4201,152904,194,conventional,Japan
10,16/10/2016,4397,148211,239,conventional,Japan
11,9/10/2016,7855,171101,275,conventional,Japan
12,2/10/2016,17696,145719,620,conventional,Japan
13,25/9/2016,42274,125999,127,conventional,Japan
14,18/9/2016,37691,130354,133,conventional,Japan
15,11/9/2016,84826,225724,197,conventional,Japan
16,4/9/2016,10731,199814,842,conventional,Japan
17,28/8/2016,3267,209240,278,conventional,Japan
18,21/8/2016,2618,191018,224,conventional,Japan
19,14/8/2016,6429,186844,655,conventional,Japan
20,7/8/2016,4285,183605,565,conventional,Japan
21,31/7/2016,3820,170921,200,conventional,Japan
22,24/7/2016,3244,165703,149,conventional,Japan
23,17/7/2016,3079,173492,287,conventional,Japan
24,10/7/2016,3435,192339,700,conventional,Japan
25,3/7/2016,3262,212725,1331,conventional,Japan
26,26/6/2016,3521,245341,263,conventional,Japan
27,19/6/2016,4764,253641,308,conventional,Japan
28,12/6/2016,7760,242441,319,conventional,Japan
29,5/6/2016,4757,219463,246,conventional,Japan
30,29/5/2016,5717,310084,433,conventional,Japan
31,22/5/2016,3701,224263,522,conventional,Japan
32,15/5/2016,5224,353743,779,conventional,Japan
33,8/5/2016,6158,449501,436,conventional,Japan
34,1/5/2016,4164,286951,247,conventional,Japan
35,24/4/2016,4252,277216,685,conventional,Japan
36,17/4/2016,3818,212804,95,conventional,Japan
37,10/4/2016,4510,213983,172,conventional,Japan
38,3/4/2016,4184,204808,449,conventional,Japan
39,27/3/2016,3704,234449,197,conventional,Japan
40,20/3/2016,5156,315608,278,conventional,Japan
41,13/3/2016,4317,253677,179,conventional,Japan
42,6/3/2016,4867,241128,295,conventional,Japan
43,28/2/2016,5559,305867,233,conventional,Japan
44,21/2/2016,4492,214537,280,conventional,Japan
45,14/2/2016,6065,326487,317,conventional,Japan
46,7/2/2016,4835,306374,531,conventional,Japan
47,31/1/2016,5276,322398,256,conventional,Japan
48,24/1/2016,2331,234917,304,conventional,Japan
49,17/1/2016,4187,265631,223,conventional,Japan
50,10/1/2016,3362,213815,238,conventional,Japan
51,3/1/2016,4199,275681,297,conventional,Japan
0,25/12/2016,571304,238202,3258,conventional,Netherland
1,18/12/2016,576578,258779,2886,conventional,Netherland
2,11/12/2016,413908,275659,3480,conventional,Netherland
3,4/12/2016,592360,274634,4509,conventional,Netherland
4,27/11/2016,525325,173402,3567,conventional,Netherland
5,20/11/2016,466961,202860,4070,conventional,Netherland
6,13/11/2016,431732,231630,4850,conventional,Netherland
7,6/11/2016,430099,168815,2922,conventional,Netherland
8,30/10/2016,346283,181579,3193,conventional,Netherland
9,23/10/2016,371566,145059,2489,conventional,Netherland
10,16/10/2016,492463,223737,3349,conventional,Netherland
11,9/10/2016,483285,344449,9671,conventional,Netherland
12,2/10/2016,446277,260177,3196,conventional,Netherland
13,25/9/2016,463608,266059,2894,conventional,Netherland
14,18/9/2016,702368,203949,3024,conventional,Netherland
15,11/9/2016,729949,188319,2466,conventional,Netherland
16,4/9/2016,782983,265697,3440,conventional,Netherland
17,28/8/2016,610762,216733,3065,conventional,Netherland
18,21/8/2016,583161,248160,5697,conventional,Netherland
19,14/8/2016,590138,218436,3816,conventional,Netherland
20,7/8/2016,614770,239658,5033,conventional,Netherland
21,31/7/2016,547469,203888,4165,conventional,Netherland
22,24/7/2016,555710,218180,5209,conventional,Netherland
23,17/7/2016,551921,219856,8568,conventional,Netherland
24,10/7/2016,607070,208422,41629,conventional,Netherland
25,3/7/2016,545800,245932,139911,conventional,Netherland
26,26/6/2016,586636,216134,113474,conventional,Netherland
27,19/6/2016,627217,228843,74763,conventional,Netherland
28,12/6/2016,589477,236621,110055,conventional,Netherland
29,5/6/2016,555561,242491,110458,conventional,Netherland
30,29/5/2016,554092,247280,116263,conventional,Netherland
31,22/5/2016,569011,339100,169714,conventional,Netherland
32,15/5/2016,614770,335853,95672,conventional,Netherland
33,8/5/2016,670566,293099,185667,conventional,Netherland
34,1/5/2016,601670,368704,89822,conventional,Netherland
35,24/4/2016,656323,324423,163348,conventional,Netherland
36,17/4/2016,782314,191432,153135,conventional,Netherland
37,10/4/2016,757578,188936,151966,conventional,Netherland
38,3/4/2016,684633,264272,181951,conventional,Netherland
39,27/3/2016,553962,406713,177920,conventional,Netherland
40,20/3/2016,538381,327365,121839,conventional,Netherland
41,13/3/2016,585649,247462,185545,conventional,Netherland
42,6/3/2016,698790,182051,86478,conventional,Netherland
43,28/2/2016,674833,180298,85512,conventional,Netherland
44,21/2/2016,566062,200935,90646,conventional,Netherland
45,14/2/2016,518192,334137,210029,conventional,Netherland
46,7/2/2016,528670,424427,203798,conventional,Netherland
47,31/1/2016,484446,348543,161507,conventional,Netherland
48,24/1/2016,259465,363892,79193,conventional,Netherland
49,17/1/2016,447913,369479,116441,conventional,Netherland
50,10/1/2016,434472,437751,85369,conventional,Netherland
51,3/1/2016,356962,454200,113069,conventional,Netherland
0,25/12/2016,107318,43302,7607,conventional,Indonesia
1,18/12/2016,88443,49296,7073,conventional,Indonesia
2,11/12/2016,83683,55353,6832,conventional,Indonesia
3,4/12/2016,93964,56503,5327,conventional,Indonesia
4,27/11/2016,104641,41993,4857,conventional,Indonesia
5,20/11/2016,94283,29776,5608,conventional,Indonesia
6,13/11/2016,114476,32699,6683,conventional,Indonesia
7,6/11/2016,84138,29998,8196,conventional,Indonesia
8,30/10/2016,79019,31779,7158,conventional,Indonesia
9,23/10/2016,67268,48015,8492,conventional,Indonesia
10,16/10/2016,88625,51474,5357,conventional,Indonesia
11,9/10/2016,121482,40083,5061,conventional,Indonesia
12,2/10/2016,93430,45097,5877,conventional,Indonesia
13,25/9/2016,98373,44922,5907,conventional,Indonesia
14,18/9/2016,117939,57221,5319,conventional,Indonesia
15,11/9/2016,200297,70912,5573,conventional,Indonesia
16,4/9/2016,158224,69349,5841,conventional,Indonesia
17,28/8/2016,123740,56927,6192,conventional,Indonesia
18,21/8/2016,141809,50487,5836,conventional,Indonesia
19,14/8/2016,129728,53955,6998,conventional,Indonesia
20,7/8/2016,144863,57549,7063,conventional,Indonesia
21,31/7/2016,125463,54745,7320,conventional,Indonesia
22,24/7/2016,110869,58714,7525,conventional,Indonesia
23,17/7/2016,118910,52024,7496,conventional,Indonesia
24,10/7/2016,153906,69545,7717,conventional,Indonesia
25,3/7/2016,135214,82727,9481,conventional,Indonesia
26,26/6/2016,130217,74317,12079,conventional,Indonesia
27,19/6/2016,164910,76173,11019,conventional,Indonesia
28,12/6/2016,146589,75379,18142,conventional,Indonesia
29,5/6/2016,156235,109764,13189,conventional,Indonesia
30,29/5/2016,131708,115790,11870,conventional,Indonesia
31,22/5/2016,122332,89287,15173,conventional,Indonesia
32,15/5/2016,131370,107125,1468,conventional,Indonesia
33,8/5/2016,170359,144990,8687,conventional,Indonesia
34,1/5/2016,122125,115747,8420,conventional,Indonesia
35,24/4/2016,125413,120811,8101,conventional,Indonesia
36,17/4/2016,143901,110596,6531,conventional,Indonesia
37,10/4/2016,151863,91834,6305,conventional,Indonesia
38,3/4/2016,158984,62626,6877,conventional,Indonesia
39,27/3/2016,155873,72324,7122,conventional,Indonesia
40,20/3/2016,127950,116702,13632,conventional,Indonesia
41,13/3/2016,130880,109512,6824,conventional,Indonesia
42,6/3/2016,139919,86200,6810,conventional,Indonesia
43,28/2/2016,122523,98921,14452,conventional,Indonesia
44,21/2/2016,121215,124296,6448,conventional,Indonesia
45,14/2/2016,144507,110750,7331,conventional,Indonesia
46,7/2/2016,191144,142489,10625,conventional,Indonesia
47,31/1/2016,117236,87110,14510,conventional,Indonesia
48,24/1/2016,9727,81835,6141,conventional,Indonesia
49,17/1/2016,108072,98544,12497,conventional,Indonesia
50,10/1/2016,118959,110550,6134,conventional,Indonesia
51,3/1/2016,103711,138143,15505,conventional,Indonesia
0,25/12/2016,794840,669585,65359,conventional,Vietnam
1,18/12/2016,767982,513487,56245,conventional,Vietnam
2,11/12/2016,917099,631013,59600,conventional,Vietnam
3,4/12/2016,1076283,476163,53730,conventional,Vietnam
4,27/11/2016,865743,416438,50950,conventional,Vietnam
5,20/11/2016,880344,456709,60512,conventional,Vietnam
6,13/11/2016,696411,436389,71033,conventional,Vietnam
7,6/11/2016,543332,423352,77065,conventional,Vietnam
8,30/10/2016,533137,383974,59597,conventional,Vietnam
9,23/10/2016,768316,427296,44807,conventional,Vietnam
10,16/10/2016,922290,501533,56116,conventional,Vietnam
11,9/10/2016,1153907,559077,61747,conventional,Vietnam
12,2/10/2016,1337603,471344,62565,conventional,Vietnam
13,25/9/2016,1328969,468793,62738,conventional,Vietnam
14,18/9/2016,999949,457933,55346,conventional,Vietnam
15,11/9/2016,1217418,534763,49050,conventional,Vietnam
16,4/9/2016,1409249,626923,43844,conventional,Vietnam
17,28/8/2016,1471105,537893,57212,conventional,Vietnam
18,21/8/2016,1264168,480926,57963,conventional,Vietnam
19,14/8/2016,1050808,605409,73826,conventional,Vietnam
20,7/8/2016,1137248,632756,67935,conventional,Vietnam
21,31/7/2016,961495,562613,70784,conventional,Vietnam
22,24/7/2016,1163035,629930,83980,conventional,Vietnam
23,17/7/2016,1201992,630743,84008,conventional,Vietnam
